Code,date,y_true,y_pred,residual,abs_residual
640400,2023-07-01,89.0,74.8949,14.1051025390625,14.1051025390625
640400,2023-08-01,90.0,80.16003,9.839973449707031,9.839973449707031
640400,2023-09-01,100.0,79.49541,20.504592895507812,20.504592895507812
640400,2023-10-01,111.0,101.65973,9.34027099609375,9.34027099609375
640400,2023-11-01,120.0,112.05271,7.947288513183594,7.947288513183594
640400,2023-12-01,123.0,123.9506,-0.9505996704101562,0.9505996704101562
640400,2024-01-01,615.0,243.6745,371.32550048828125,371.32550048828125
640400,2024-02-01,381.0,367.12918,13.870819091796875,13.870819091796875
640400,2024-03-01,470.0,469.71558,0.284423828125,0.284423828125
640400,2024-04-01,511.0,470.1558,40.844207763671875,40.844207763671875
640400,2024-05-01,633.0,628.158,4.84197998046875,4.84197998046875
640400,2024-06-01,558.0,673.32025,-115.32025146484375,115.32025146484375
640400,2024-07-01,612.0,622.31104,-10.31103515625,10.31103515625
640400,2024-08-01,660.0,714.6139,-54.6138916015625,54.6138916015625
640400,2024-09-01,819.0,768.16656,50.83343505859375,50.83343505859375
640400,2024-10-01,1103.0,833.97955,269.02044677734375,269.02044677734375
640400,2024-11-01,876.0,962.302,-86.302001953125,86.302001953125
640400,2024-12-01,686.0,1177.2277,-491.2276611328125,491.2276611328125
640500,2023-01-01,37.0,35.94098,1.05902099609375,1.05902099609375
640500,2023-02-01,65.0,42.25901,22.740989685058594,22.740989685058594
640500,2023-03-01,61.0,70.32006,-9.320060729980469,9.320060729980469
640500,2023-04-01,60.0,58.438145,1.5618553161621094,1.5618553161621094
640500,2023-05-01,95.0,79.576546,15.423454284667969,15.423454284667969
640500,2023-06-01,117.0,96.005615,20.994384765625,20.994384765625
640500,2023-07-01,90.0,109.493866,-19.493865966796875,19.493865966796875
640500,2023-08-01,96.0,102.59366,-6.593658447265625,6.593658447265625
640500,2023-09-01,117.0,88.2106,28.789398193359375,28.789398193359375
640500,2023-10-01,207.0,95.02844,111.9715576171875,111.9715576171875
640500,2023-11-01,176.0,207.49025,-31.490249633789062,31.490249633789062
640500,2023-12-01,232.0,213.69768,18.302322387695312,18.302322387695312
640500,2024-01-01,531.0,330.17032,200.82968139648438,200.82968139648438
640500,2024-02-01,335.0,292.20087,42.79913330078125,42.79913330078125
640500,2024-03-01,422.0,495.03415,-73.03414916992188,73.03414916992188
640500,2024-04-01,435.0,444.5821,-9.58209228515625,9.58209228515625
640500,2024-05-01,474.0,549.16473,-75.16473388671875,75.16473388671875
640500,2024-06-01,465.0,494.41336,-29.413360595703125,29.413360595703125
640500,2024-07-01,445.0,502.10056,-57.100555419921875,57.100555419921875
640500,2024-08-01,574.0,566.50836,7.49163818359375,7.49163818359375
640500,2024-09-01,667.0,703.10803,-36.1080322265625,36.1080322265625
640500,2024-10-01,908.0,864.5924,43.4075927734375,43.4075927734375
640500,2024-11-01,805.0,923.6468,-118.64678955078125,118.64678955078125
640500,2024-12-01,724.0,1140.4955,-416.4954833984375,416.4954833984375
650100,2023-01-01,758.0,846.79333,-88.7933349609375,88.7933349609375
650100,2023-02-01,1041.0,708.9797,332.02032470703125,332.02032470703125
650100,2023-03-01,1717.0,1470.9476,246.0523681640625,246.0523681640625
650100,2023-04-01,1624.0,1175.7206,448.2794189453125,448.2794189453125
650100,2023-05-01,1878.0,1526.2676,351.732421875,351.732421875
650100,2023-06-01,2228.0,2444.6294,-216.62939453125,216.62939453125
650100,2023-07-01,2185.0,1816.2189,368.7811279296875,368.7811279296875
650100,2023-08-01,2654.0,1661.3748,992.625244140625,992.625244140625
650100,2023-09-01,3274.0,1345.0372,1928.9627685546875,1928.9627685546875
650100,2023-10-01,3943.0,1444.6719,2498.328125,2498.328125
650100,2023-11-01,4557.0,2132.8716,2424.12841796875,2424.12841796875
650100,2023-12-01,5045.0,3551.7512,1493.248779296875,1493.248779296875
650100,2024-01-01,15324.0,5586.2007,9737.79931640625,9737.79931640625
650100,2024-02-01,8241.0,3819.987,4421.012939453125,4421.012939453125
650100,2024-03-01,16386.0,9480.525,6905.474609375,6905.474609375
650100,2024-04-01,15053.0,13265.087,1787.9130859375,1787.9130859375
650100,2024-05-01,16000.0,12892.025,3107.974609375,3107.974609375
650100,2024-06-01,14714.0,9885.785,4828.21484375,4828.21484375
650100,2024-07-01,13359.0,11497.796,1861.2041015625,1861.2041015625
650100,2024-08-01,14297.0,18239.248,-3942.248046875,3942.248046875
650100,2024-09-01,12770.0,11061.545,1708.455078125,1708.455078125
650100,2024-10-01,15974.0,23253.156,-7279.15625,7279.15625
650100,2024-11-01,14246.0,28126.82,-13880.8203125,13880.8203125
650100,2024-12-01,17967.0,28761.482,-10794.482421875,10794.482421875
650200,2023-01-01,53.0,144.9152,-91.91520690917969,91.91520690917969
650200,2023-02-01,106.0,52.992725,53.00727462768555,53.00727462768555
650200,2023-03-01,115.0,156.2878,-41.28779602050781,41.28779602050781
650200,2023-04-01,149.0,127.05507,21.944931030273438,21.944931030273438
650200,2023-05-01,247.0,183.82132,63.178680419921875,63.178680419921875
650200,2023-06-01,100.0,260.91016,-160.91015625,160.91015625
650200,2023-07-01,144.0,157.23582,-13.235824584960938,13.235824584960938
650200,2023-08-01,155.0,161.70255,-6.702545166015625,6.702545166015625
650200,2023-09-01,166.0,178.84222,-12.84222412109375,12.84222412109375
650200,2023-10-01,136.0,174.38301,-38.38301086425781,38.38301086425781
650200,2023-11-01,213.0,193.26816,19.731842041015625,19.731842041015625
650200,2023-12-01,197.0,291.54773,-94.5477294921875,94.5477294921875
650200,2024-01-01,981.0,476.2153,504.7846984863281,504.7846984863281
650200,2024-02-01,639.0,718.2257,-79.2257080078125,79.2257080078125
650200,2024-03-01,1309.0,1103.5459,205.4541015625,205.4541015625
650200,2024-04-01,1003.0,1055.1919,-52.19189453125,52.19189453125
650200,2024-05-01,1067.0,1113.9938,-46.9937744140625,46.9937744140625
650200,2024-06-01,1151.0,1197.7125,-46.7125244140625,46.7125244140625
650200,2024-07-01,1279.0,1039.1293,239.8707275390625,239.8707275390625
650200,2024-08-01,1118.0,981.2877,136.7122802734375,136.7122802734375
650200,2024-09-01,1076.0,1208.2156,-132.215576171875,132.215576171875
650200,2024-10-01,1428.0,1241.5763,186.4237060546875,186.4237060546875
650200,2024-11-01,1752.0,1779.6227,-27.6226806640625,27.6226806640625
650200,2024-12-01,2538.0,2553.2368,-15.23681640625,15.23681640625
650400,2023-01-01,7.0,31.079481,-24.07948112487793,24.07948112487793
650400,2023-02-01,5.0,5.5890937,-0.5890936851501465,0.5890936851501465
650400,2023-03-01,12.0,10.477057,1.5229425430297852,1.5229425430297852
650400,2023-04-01,10.0,25.912848,-15.912847518920898,15.912847518920898
650400,2023-05-01,30.0,23.077536,6.922464370727539,6.922464370727539
650400,2023-06-01,32.0,31.770422,0.22957801818847656,0.22957801818847656
650400,2023-07-01,29.0,20.380959,8.619041442871094,8.619041442871094
650400,2023-08-01,22.0,32.523594,-10.52359390258789,10.52359390258789
650400,2023-09-01,34.0,23.328678,10.671321868896484,10.671321868896484
650400,2023-10-01,43.0,35.07731,7.922691345214844,7.922691345214844
650400,2023-11-01,41.0,43.667625,-2.6676254272460938,2.6676254272460938
650400,2023-12-01,65.0,56.385273,8.614727020263672,8.614727020263672
650400,2024-01-01,185.0,81.74548,103.2545166015625,103.2545166015625
650400,2024-02-01,120.0,122.12062,-2.1206207275390625,2.1206207275390625
650400,2024-03-01,187.0,207.16022,-20.16021728515625,20.16021728515625
650400,2024-04-01,166.0,215.03456,-49.03456115722656,49.03456115722656
650400,2024-05-01,181.0,241.28882,-60.288818359375,60.288818359375
650400,2024-06-01,213.0,256.84668,-43.8466796875,43.8466796875
650400,2024-07-01,1110.0,498.88376,611.1162414550781,611.1162414550781
650400,2024-08-01,930.0,817.2602,112.73980712890625,112.73980712890625
650400,2024-09-01,320.0,539.6446,-219.64459228515625,219.64459228515625
650400,2024-10-01,433.0,611.4387,-178.438720703125,178.438720703125
650400,2024-11-01,453.0,733.5952,-280.59521484375,280.59521484375
650400,2024-12-01,677.0,675.4284,1.57159423828125,1.57159423828125
650500,2023-01-01,84.0,70.95541,13.044593811035156,13.044593811035156
650500,2023-02-01,114.0,69.0975,44.902496337890625,44.902496337890625
650500,2023-03-01,134.0,154.08986,-20.089859008789062,20.089859008789062
650500,2023-04-01,130.0,137.4478,-7.4477996826171875,7.4477996826171875
650500,2023-05-01,143.0,183.29213,-40.29212951660156,40.29212951660156
650500,2023-06-01,166.0,177.12755,-11.127548217773438,11.127548217773438
650500,2023-07-01,176.0,167.25183,8.7481689453125,8.7481689453125
650500,2023-08-01,173.0,185.50055,-12.50054931640625,12.50054931640625
650500,2023-09-01,206.0,187.22827,18.771728515625,18.771728515625
650500,2023-10-01,277.0,194.8366,82.16340637207031,82.16340637207031
650500,2023-11-01,256.0,311.96182,-55.961822509765625,55.961822509765625
650500,2023-12-01,430.0,325.43237,104.567626953125,104.567626953125
650500,2024-01-01,1089.0,495.02084,593.9791564941406,593.9791564941406
650500,2024-02-01,443.0,584.3234,-141.32342529296875,141.32342529296875
650500,2024-03-01,838.0,824.5513,13.44873046875,13.44873046875
650500,2024-04-01,916.0,939.1107,-23.1107177734375,23.1107177734375
650500,2024-05-01,980.0,1106.3098,-126.309814453125,126.309814453125
650500,2024-06-01,843.0,1127.7565,-284.7564697265625,284.7564697265625
650500,2024-07-01,835.0,912.07697,-77.07696533203125,77.07696533203125
650500,2024-08-01,999.0,1078.714,-79.7139892578125,79.7139892578125
650500,2024-09-01,1032.0,1184.3182,-152.3182373046875,152.3182373046875
650500,2024-10-01,1403.0,1219.2666,183.7333984375,183.7333984375
650500,2024-11-01,1303.0,1482.1765,-179.176513671875,179.176513671875
650500,2024-12-01,1778.0,1906.7285,-128.728515625,128.728515625
652300,2023-01-01,191.0,173.37856,17.621444702148438,17.621444702148438
